2026-09-23T22:23:31.724Z  127.0.0.1  GET 200  11594B  0.5ms  target=/js/npc/ground.js  from=/js/npc/reports.js
2026-09-23T22:23:31.727Z  127.0.0.1  GET 200  34481B  1.2ms  target=/js/data/chains.js  from=/js/chains.js
2026-09-23T22:23:31.741Z  127.0.0.1  GET 200  6568B  1.6ms  target=/js/crew/tiers.js  from=/js/console/panels/crew.js
2026-09-23T22:23:31.743Z  127.0.0.1  GET 200  26249B  0.4ms  target=/js/crew/beats.js  from=/js/console/panels/crew.js
2026-09-23T22:23:31.746Z  127.0.0.1  GET 200  6455B  1.3ms  target=/js/console/panels/crew-brig.js  from=/js/console/panels/crew.js
2026-09-23T22:23:31.748Z  127.0.0.1  GET 200  7545B  0.4ms  target=/js/console/panels/work-tape.js  from=/js/console/panels/work.js
2026-09-23T22:23:31.757Z  127.0.0.1  GET 200  7740B  0.4ms  target=/js/console/panels/corp-account.js  from=/js/console/panels/corp.js
2026-09-23T22:23:31.758Z  127.0.0.1  GET 200  5455B  1.7ms  target=/js/console/panels/corp-marshal.js  from=/js/console/panels/corp.js
2026-09-23T22:23:31.764Z  127.0.0.1  GET 200  18506B  4.2ms  target=/js/npc/bounty.js  from=/js/console/panels/corp.js
2026-09-23T22:23:31.774Z  127.0.0.1  GET 200  10285B  0.5ms  target=/js/shipgen/builder/StarshipBuilder.js  from=/js/shipgen/generate.js
2026-09-23T22:23:31.780Z  127.0.0.1  GET 200  46982B  6.8ms  target=/js/robotgen/attach.js  from=/js/robotgen/build.js
2026-09-23T22:23:31.786Z  127.0.0.1  GET 200  3173B  0.5ms  target=/js/robotgen/parts.js  from=/js/robotgen/build.js
2026-09-23T22:23:31.788Z  127.0.0.1  GET 200  16637B  5.7ms  target=/js/robotgen/fly.js  from=/js/robotgen/build.js
