2026-09-25T07:09:32.684Z  127.0.0.1  GET 304  -B  1.2ms  target=/js/asteroidgen/impact-shaders.js  from=/js/impactfx.js
2026-09-25T07:09:32.685Z  127.0.0.1  GET 304  -B  2.3ms  target=/js/asteroidgen/fracture.js  from=/js/impactfx.js
2026-09-25T07:09:32.685Z  127.0.0.1  GET 304  -B  1.8ms  target=/js/bodygen/bake.js  from=/js/bodygen/body.js
2026-09-25T07:09:32.686Z  127.0.0.1  GET 304  -B  3.0ms  target=/js/asteroidgen/impact-sim.js  from=/js/impactfx.js
2026-09-25T07:09:32.687Z  127.0.0.1  GET 304  -B  2.8ms  target=/js/asteroidgen/debris.js  from=/js/impactfx.js
2026-09-25T07:09:32.688Z  127.0.0.1  GET 304  -B  1.9ms  target=/js/asteroidgen/rng.js  from=/js/impactfx.js
2026-09-25T07:09:32.688Z  127.0.0.1  GET 304  -B  1.1ms  target=/js/bodygen/gl.js  from=/js/impactfx.js
2026-09-25T07:09:32.690Z  127.0.0.1  GET 304  -B  1.4ms  target=/js/shipgen/anim.js  from=/js/shipforge.js
2026-09-25T07:09:32.690Z  127.0.0.1  GET 304  -B  2.6ms  target=/js/shipgen/generate.js  from=/js/shipforge.js
2026-09-25T07:09:32.691Z  127.0.0.1  GET 304  -B  1.5ms  target=/js/hullspec.js  from=/js/shipforge.js
2026-09-25T07:09:32.692Z  127.0.0.1  GET 304  -B  2.3ms  target=/js/asteroidgen/kerr.js  from=/js/holes.js
2026-09-25T07:09:32.693Z  127.0.0.1  GET 304  -B  2.2ms  target=/js/dronespec.js  from=/js/droneforge.js
2026-09-25T07:09:32.694Z  127.0.0.1  GET 304  -B  3.1ms  target=/js/robotgen/build.js  from=/js/droneforge.js
2026-09-25T07:09:32.694Z  127.0.0.1  GET 304  -B  0.8ms  target=/js/asteroidgen/tidal.js  from=/js/holefx.js
2026-09-25T07:09:32.694Z  127.0.0.1  GET 304  -B  1.9ms  target=/js/asteroidgen/blackhole.js  from=/js/holefx.js
2026-09-25T07:09:32.695Z  127.0.0.1  GET 304  -B  0.7ms  target=/js/npc/bay.js  from=/js/drones/npcdrones.js
2026-09-25T07:09:32.696Z  127.0.0.1  GET 304  -B  1.2ms  target=/js/stationgen/index.js  from=/js/stationyard.js
2026-09-25T07:09:32.696Z  127.0.0.1  GET 304  -B  1.1ms  target=/js/npc/flight.js  from=/js/npc/traffic.js
2026-09-25T07:09:32.697Z  127.0.0.1  GET 304  -B  0.7ms  target=/js/asteroidgen/impact.js  from=/js/impacts.js
2026-09-25T07:09:32.698Z  127.0.0.1  GET 304  -B  1.2ms  target=/js/shipgen/data/bom.js  from=/js/shipcost.js
2026-09-25T07:09:32.699Z  127.0.0.1  GET 304  -B  1.5ms  target=/js/shipgen/data/catalog/index.js  from=/js/shipcost.js
2026-09-25T07:09:32.700Z  127.0.0.1  GET 304  -B  1.0ms  target=/js/robotgen/spec.js  from=/js/crew/robots.js
2026-09-25T07:09:32.701Z  127.0.0.1  GET 304  -B  1.2ms  target=/js/crew/voice-bank.js  from=/js/crew/voice.js
